region,periodo,CBA,CBT,codigo
Pampeana,2017.1,1816.99666666667,4403.45666666667,43
Pampeana,2017.2,1921.31333333333,4700.88,43
Pampeana,2017.3,2003.65333333333,4895.46666666667,43
Pampeana,2017.4,2109.90666666667,5198.14,43
Pampeana,2018.1,2240.19,5623.16,43
Pampeana,2018.2,2394.25666666667,6047.26666666667,43
Pampeana,2018.3,2730.58666666667,6799.41666666667,43
Pampeana,2018.4,3212.48666666667,8009.99,43
Pampeana,2019.1,3560.38666666667,8839.95666666667,43
Pampeana,2019.2,3867.10333333333,9681.23333333333,43
Pampeana,2019.3,4256.20333333333,10626.3866666667,43
Pampeana,2019.4,4803.07333333333,11990.5166666667,43
Pampeana,2020.1,5417.25413333333,13180.48,43
Pampeana,2020.2,5727.3424,13784.0866666667,43
Pampeana,2020.3,6011.61666666667,14588.2866666667,43
Pampeana,2020.4,6958.73,16698.9666666667,43
Pampeana,2021.1,7893.06305786794,18705.6866666667,43
Pampeana,2021.2,8741.99381333333,20541.9,43
Pampeana,2021.3,9511.28926890667,22349.5872,43
Pampeana,2021.4,10231.09,23801.1266666667,43
Patagonia,2015.4,1412.49,3630.1,44
Patagonia,2016.1,1516.62,3959.09,44
Patagonia,2016.2,1607.56,4447.90666666667,44
Patagonia,2016.3,1735.14,4742.31666666667,44
Patagonia,2016.4,1813.34666666667,4962.50666666667,44
Patagonia,2017.1,1890.22666666667,5198.23666666667,44
Patagonia,2017.2,1994.24666666667,5550.71,44
Patagonia,2017.3,2070.33333333333,5741.60333333333,44
Patagonia,2017.4,2183.86666666667,6108.55,44
Patagonia,2018.1,2327.43666666667,6625.94,44
Patagonia,2018.2,2494.25333333333,7147.77666666667,44
Patagonia,2018.3,2836.20333333333,8017.66333333333,44
Patagonia,2018.4,3341.05,9444.38666666667,44
Patagonia,2019.1,3688.92333333333,10413.4066666667,44
Patagonia,2019.2,4004.81,11374.38,44
Patagonia,2019.3,4461.78333333333,12656.66,44
Patagonia,2019.4,5037.27,14287.89,44
Patagonia,2020.1,5672.94885,15655.7233333333,44
Patagonia,2020.2,5974.18215,16349.52,44
Patagonia,2020.3,6307.29333333333,17387.1566666667,44
Patagonia,2020.4,7291.59333333333,19855.18,44
Patagonia,2021.1,8313.1459855193,22361.4,44
Patagonia,2021.2,9145.56015,24416.9066666667,44
Patagonia,2021.3,10133.2806462,27053.9325866667,44
Patagonia,2021.4,10665.5466666667,28152.2533333333,44
Cuyo,2022.1,10664.4019141753,25630.7878795497,42
GBA,2022.1,12039.9333333333,27197.64,1
Noreste,2022.1,10822.7299885517,22876.6565339844,41
Noroeste,2022.1,10422.9027425451,21830.4647498156,40
Pampeana,2022.1,11892.2074900772,26843.9526508388,43
Patagonia,2022.1,12428.2611923994,31862.9192361862,44
